CustomerID,Name,Gender,Age,City,Signup_Date,Last_purchase_date,purchase_amount,feedback_score,Country
C76,Simran,female,43.0,Hyderabad,,,1958.1,2.0,India
,nan,nan,43.0,Bangalore,2021-06-16,,-999.0,2.0,UK
78,Amit,nan,200.0,nan,2024-06-20,,2267.95,3.0,nan
79,Kiran,female,200.0,nan,2020-11-11,2022-03-28,-999.0,-1.0,India
,Ankit,nan,200.0,Chennai,2021-12-11,,1517.55,1.0,USA
,Rahul,Female,43.0,Delhi,,,-999.0,-1.0,UK
82,Pooja,Male,43.0,Hyderabad,,,477.91,-1.0,Australia
83,nan,Male,47.0,Bangalore,2025-11-22,,1105.17,3.0,Australia
,Priya,Female,43.0,Ahmedabad,,,3720.97,2.0,Canada
C85,Priya,male,51.0,Delhi,,,-999.0,3.0,USA
86,Kiran,F,43.0,Pune,,,-999.0,3.0,UK
87,nan,male,-5.0,Kolkata,2020-12-05,,-999.0,1.0,Canada
88,Kiran,Male,43.0,Delhi,,,-999.0,3.0,Australia
89,Rahul,nan,-5.0,Hyderabad,,,-999.0,10.0,nan
,Ankit,M,51.0,Hyderabad,,,-999.0,10.0,USA
91,Simran,Male,66.0,nan,,,-999.0,-1.0,USA
C92,Ankit,nan,-5.0,Delhi,2025-07-21,,2589.13,3.0,UK
93,Ravi,female,43.0,Pune,2023-12-05,,-999.0,10.0,India
,nan,male,53.0,Kolkata,,,-999.0,-1.0,USA
C95,Amit,M,-5.0,Hyderabad,,,-999.0,3.0,nan
,Simran,M,-5.0,nan,2023-02-03,2020-10-12,-999.0,10.0,USA
C97,Simran,Male,43.0,Pune,,,-999.0,-1.0,Canada
C98,Kiran,Female,-5.0,nan,,,-999.0,-1.0,nan
99,Amit,nan,-5.0,Bangalore,,,-999.0,5.0,India
C100,Priya,M,-5.0,Pune,,,-999.0,-1.0,USA
C101,Neha,nan,43.0,Mumbai,,2022-02-20,-999.0,3.0,India
102,Pooja,nan,200.0,Mumbai,2023-09-15,2022-05-10,-999.0,3.0,Canada
,Simran,nan,-5.0,Mumbai,,,-999.0,10.0,UK
104,nan,M,43.0,nan,2023-09-09,2022-05-22,-999.0,10.0,UK
,Rahul,nan,200.0,Kolkata,2021-07-27,,-999.0,10.0,USA
106,Priya,F,200.0,Delhi,2023-02-19,,-999.0,3.0,nan
107,Rahul,F,-5.0,Ahmedabad,2021-04-26,2024-06-05,-999.0,3.0,Canada
,Pooja,male,200.0,Ahmedabad,,,-999.0,10.0,Canada
C109,Ankit,male,200.0,nan,,,-999.0,10.0,USA
110,nan,nan,200.0,Delhi,2021-10-25,2023-08-27,-999.0,1.0,USA
C111,Simran,nan,-5.0,Bangalore,,,-999.0,10.0,UK
C112,Simran,Male,200.0,Kolkata,2024-10-24,,-999.0,3.0,Australia
,Ravi,nan,43.0,Pune,2022-02-22,,-999.0,10.0,nan
C114,nan,female,43.0,nan,2021-06-24,2024-07-22,1520.66,10.0,nan
115,nan,nan,200.0,Pune,2021-07-14,,2625.32,3.0,nan
,Ravi,M,200.0,Chennai,,,-999.0,2.0,Canada
,Pooja,Male,43.0,Kolkata,2024-07-07,2025-05-13,-999.0,-1.0,Australia
118,Sneha,Male,200.0,nan,,,-999.0,10.0,Canada
C119,Kiran,male,57.0,Delhi,2021-07-07,,-999.0,5.0,UK
120,nan,nan,43.0,Delhi,,,-999.0,5.0,USA
121,nan,nan,70.0,Hyderabad,,,-999.0,3.0,Canada
C122,Sneha,F,-5.0,Pune,,,-999.0,-1.0,USA
,Ankit,nan,-5.0,Chennai,,,-999.0,3.0,USA
124,Pooja,Male,-5.0,Hyderabad,2024-05-11,,-999.0,-1.0,Canada
C125,nan,F,-5.0,Kolkata,2024-06-08,,-999.0,3.0,Canada
126,nan,M,33.0,Hyderabad,,,-999.0,3.0,USA
,nan,male,200.0,Delhi,2024-02-01,,-999.0,10.0,Australia
128,Ankit,M,200.0,Pune,2024-03-07,,-999.0,-1.0,India
129,Ankit,F,-5.0,Hyderabad,,,384.1,3.0,USA
130,Ravi,Male,46.0,Ahmedabad,,,-999.0,10.0,USA
,Simran,male,-5.0,Ahmedabad,,,-999.0,10.0,India
132,Priya,F,200.0,Ahmedabad,2021-06-12,,-999.0,10.0,India
133,Ankit,female,43.0,Chennai,,2020-10-16,101.52,5.0,nan
C134,Ankit,female,200.0,nan,2025-11-02,2024-07-19,-999.0,10.0,nan
135,Neha,nan,21.0,Mumbai,2021-05-29,,3106.84,3.0,Australia
136,Ankit,nan,-5.0,Delhi,,2025-01-04,177.15,10.0,Australia
137,Sneha,female,39.0,Kolkata,2022-11-11,,-999.0,3.0,Australia
138,Ankit,M,43.0,Ahmedabad,2021-06-22,2020-12-01,-999.0,5.0,USA
139,Amit,Female,43.0,Hyderabad,2024-07-23,2021-01-12,-999.0,-1.0,USA
,Ravi,male,43.0,Pune,,,4302.36,-1.0,nan
C141,Neha,nan,29.0,Kolkata,,,-999.0,10.0,USA
C142,Amit,Male,67.0,Kolkata,2024-11-29,,3979.83,3.0,USA
C143,Rahul,Male,200.0,Delhi,2025-05-13,,-999.0,3.0,Australia
C144,Priya,male,-5.0,nan,2025-03-13,,-999.0,3.0,UK
C145,nan,female,43.0,nan,,2025-12-05,-999.0,10.0,nan
146,nan,Male,-5.0,Pune,2021-05-05,,819.86,1.0,USA
,Pooja,F,43.0,Chennai,,2021-01-25,4938.36,10.0,Australia
148,Amit,nan,68.0,Chennai,,,-999.0,-1.0,Canada
C149,Rahul,Female,38.0,Pune,2025-03-16,2026-01-20,-999.0,2.0,India
150,Amit,nan,200.0,Ahmedabad,2025-11-29,,-999.0,4.0,Australia
,Kiran,F,28.0,nan,,,-999.0,-1.0,Canada
,Simran,Female,-5.0,Hyderabad,2021-07-20,,-999.0,-1.0,nan
153,Pooja,Female,200.0,Bangalore,,2021-09-14,-999.0,1.0,Canada
154,Amit,M,-5.0,Bangalore,,,-999.0,10.0,USA
155,Neha,Male,200.0,Bangalore,,2025-12-21,-999.0,10.0,UK
C156,nan,M,35.0,Hyderabad,2020-10-11,,2102.22,10.0,India
,Ravi,M,35.0,nan,2021-05-15,,-999.0,-1.0,India
158,Pooja,nan,200.0,Kolkata,,,3902.94,10.0,Australia
C159,Rahul,F,43.0,Bangalore,2024-10-11,,502.02,-1.0,India
,nan,nan,-5.0,Mumbai,2021-03-27,2020-10-12,-999.0,10.0,USA
C161,Pooja,Male,35.0,nan,2023-11-18,,-999.0,2.0,India
,Pooja,F,200.0,Kolkata,2021-08-05,,-999.0,10.0,USA
163,Amit,nan,200.0,Chennai,,,-999.0,3.0,Canada
C164,Amit,F,200.0,Pune,2025-01-18,,-999.0,3.0,USA
165,Pooja,nan,43.0,Kolkata,,2024-02-09,-999.0,3.0,nan
C166,Rahul,nan,-5.0,Mumbai,,,1368.23,10.0,UK
,nan,M,26.0,Chennai,2021-04-28,,-999.0,10.0,USA
,Ravi,M,43.0,Pune,,,-999.0,10.0,USA
C169,nan,nan,43.0,Hyderabad,2022-08-23,,-999.0,5.0,nan
,nan,Female,-5.0,Chennai,,,-999.0,10.0,India
C171,Kiran,nan,43.0,Hyderabad,2022-02-24,2024-06-04,-999.0,5.0,India
C172,Neha,female,200.0,Bangalore,2023-12-24,,-999.0,10.0,Canada
C173,Simran,F,-5.0,nan,2023-06-02,,-999.0,2.0,UK
C174,nan,female,22.0,Chennai,2024-12-06,,-999.0,3.0,Australia
175,nan,Male,43.0,Kolkata,,,-999.0,-1.0,Canada
176,Kiran,female,200.0,Chennai,,2022-04-26,-999.0,10.0,India
C177,Ankit,nan,-5.0,Pune,,2024-03-26,-999.0,-1.0,Canada
178,Priya,male,43.0,Bangalore,2022-03-24,,4177.93,10.0,USA
C179,Neha,nan,200.0,Delhi,,,3779.89,-1.0,nan
,Ankit,M,43.0,Ahmedabad,,2023-06-10,2578.36,10.0,USA
181,nan,F,-5.0,nan,2022-06-10,2023-12-06,-999.0,-1.0,India
182,nan,nan,43.0,nan,,,-999.0,3.0,USA
C183,Pooja,M,-5.0,Delhi,,,-999.0,3.0,India
,Simran,Male,200.0,Delhi,,,2530.03,10.0,Canada
C185,nan,male,37.0,Hyderabad,,,-999.0,2.0,UK
,Ravi,M,43.0,Bangalore,,,-999.0,-1.0,Australia
187,Sneha,female,200.0,Pune,2020-12-07,2025-03-08,3124.58,3.0,India
C188,Ankit,nan,43.0,nan,,2023-04-13,-999.0,-1.0,nan
189,Ravi,nan,43.0,nan,2025-10-02,,-999.0,3.0,Australia
,Sneha,Male,200.0,Hyderabad,,,-999.0,3.0,USA
191,Rahul,male,44.0,nan,2024-05-20,2023-09-08,-999.0,3.0,Canada
192,nan,female,18.0,Kolkata,2024-09-27,,3740.72,3.0,Australia
C193,Rahul,nan,43.0,Delhi,2023-10-22,,-999.0,1.0,India
C194,Amit,Male,43.0,Delhi,2023-03-12,,-999.0,10.0,nan
195,Kiran,female,200.0,nan,2023-01-23,,-999.0,10.0,Canada
196,Ravi,nan,58.0,Hyderabad,2023-01-11,,-999.0,1.0,USA
,Pooja,nan,62.0,nan,2021-10-25,2023-01-29,1644.7,3.0,India
,Ankit,nan,200.0,Chennai,,,-999.0,10.0,USA
C199,Simran,Female,43.0,Delhi,2021-05-24,,-999.0,10.0,UK
C200,Simran,M,22.0,Pune,,,-999.0,4.0,nan
201,Kiran,M,-5.0,Mumbai,,2022-05-04,2647.56,-1.0,India
,Ankit,M,200.0,Kolkata,,,709.67,1.0,UK
C203,Ankit,Male,43.0,Hyderabad,,2024-02-07,3829.56,3.0,nan
,Sneha,M,200.0,Hyderabad,,,-999.0,3.0,USA
205,nan,F,43.0,Mumbai,2025-12-21,,-999.0,5.0,nan
206,Priya,Male,200.0,Pune,,,-999.0,2.0,UK
207,Simran,male,43.0,Kolkata,2024-08-24,,-999.0,-1.0,Australia
208,Sneha,nan,70.0,Ahmedabad,2023-02-16,2021-11-30,-999.0,-1.0,Canada
209,Pooja,F,28.0,Chennai,,2021-07-26,-999.0,10.0,nan
210,nan,female,200.0,Kolkata,,,-999.0,10.0,USA
C211,Sneha,F,200.0,Hyderabad,2023-01-27,,-999.0,10.0,nan
,Ankit,Male,68.0,nan,,,-999.0,3.0,Australia
213,nan,male,43.0,Mumbai,,,-999.0,3.0,nan
214,Kiran,male,43.0,Bangalore,2020-11-03,,-999.0,3.0,Australia
C215,nan,Male,43.0,Hyderabad,,2025-05-28,-999.0,3.0,Australia
,nan,M,-5.0,Ahmedabad,2022-02-19,2025-06-22,-999.0,10.0,USA
217,Pooja,female,-5.0,Pune,2020-08-20,,3742.84,3.0,Canada
,Ankit,Female,200.0,Ahmedabad,2023-11-08,,-999.0,3.0,Australia
C219,nan,F,30.0,Ahmedabad,2021-08-04,2021-01-14,-999.0,2.0,nan
220,Amit,Male,65.0,Ahmedabad,,,909.91,-1.0,nan
,Priya,Male,200.0,Ahmedabad,2024-09-13,,-999.0,3.0,Canada
222,Ravi,M,-5.0,Mumbai,2021-04-26,,3141.85,3.0,nan
223,Kiran,M,200.0,Delhi,,2024-08-11,4163.86,1.0,India
,nan,Female,18.0,Kolkata,,2024-05-24,4036.77,3.0,nan
C225,Ravi,Male,-5.0,Bangalore,2025-03-03,2023-12-12,-999.0,3.0,UK
226,Amit,male,200.0,nan,,2021-02-16,1994.89,10.0,Australia
,Kiran,Female,43.0,Pune,2020-08-09,,-999.0,10.0,Canada
C228,Pooja,Male,45.0,Kolkata,2024-10-07,2024-06-14,-999.0,10.0,UK
C229,Simran,Female,200.0,Delhi,2023-01-27,,-999.0,3.0,nan
,Amit,Female,43.0,Mumbai,,2021-05-15,-999.0,10.0,UK
231,nan,M,50.0,Delhi,,,-999.0,3.0,USA
232,nan,F,-5.0,Bangalore,2020-12-28,,-999.0,4.0,Australia
233,Neha,M,31.0,Mumbai,2023-03-28,2023-12-26,-999.0,1.0,USA
234,nan,female,43.0,Bangalore,2025-12-28,,-999.0,4.0,Canada
235,Ravi,male,-5.0,Bangalore,,2022-03-05,-999.0,10.0,Australia
236,Ravi,F,200.0,Bangalore,,,1413.4,2.0,USA
237,Ankit,M,-5.0,Mumbai,2025-06-25,,-999.0,4.0,USA
,nan,male,43.0,nan,,,1385.67,3.0,Canada
,nan,nan,43.0,Pune,,,-999.0,3.0,India
240,Sneha,male,64.0,Mumbai,,2024-03-27,-999.0,10.0,USA
241,nan,Male,-5.0,Ahmedabad,,,-999.0,10.0,UK
242,Pooja,male,43.0,nan,,2024-02-29,-999.0,5.0,UK
243,Neha,F,43.0,Bangalore,2021-02-02,2025-07-27,4995.66,1.0,nan
244,Kiran,male,200.0,Ahmedabad,2022-08-06,,-999.0,10.0,Australia
245,Amit,nan,43.0,Bangalore,2021-12-13,,-999.0,-1.0,Canada
C246,Ankit,Female,-5.0,nan,2023-09-12,2022-12-26,-999.0,10.0,Canada
C247,Ankit,Female,200.0,Pune,2022-12-15,,-999.0,-1.0,India
C248,nan,male,43.0,Delhi,,2024-03-04,-999.0,10.0,India
,Kiran,F,43.0,Kolkata,,,-999.0,10.0,nan
250,Rahul,female,200.0,Mumbai,2021-08-14,,4031.03,-1.0,Australia
251,Ravi,F,58.0,Mumbai,,2024-05-06,-999.0,-1.0,India
C252,Kiran,nan,200.0,Delhi,2024-01-16,,-999.0,-1.0,USA
,Kiran,F,43.0,Ahmedabad,2023-05-22,,4376.34,-1.0,India
254,Simran,female,43.0,nan,,,3820.96,-1.0,USA
255,Ravi,Female,43.0,Mumbai,2023-06-08,2022-02-10,-999.0,10.0,Australia
,Pooja,Male,43.0,nan,2024-03-15,2021-05-02,712.93,3.0,nan
,nan,female,200.0,Delhi,,,-999.0,10.0,nan
258,Sneha,F,47.0,Bangalore,,,-999.0,3.0,UK
259,Ravi,Female,-5.0,Hyderabad,,,-999.0,3.0,USA
260,Neha,male,-5.0,Pune,,,-999.0,10.0,UK
261,Sneha,M,43.0,nan,2023-04-10,2022-08-17,2823.08,3.0,USA
C262,Neha,nan,43.0,nan,2021-04-11,,1181.7,10.0,Australia
,Priya,male,200.0,Delhi,,2021-09-23,2531.66,-1.0,India
,Neha,F,69.0,Pune,,,-999.0,10.0,Canada
265,Ankit,female,-5.0,Ahmedabad,2021-03-05,,-999.0,1.0,UK
266,Neha,Male,200.0,Pune,2022-11-14,,-999.0,-1.0,USA
267,Ravi,nan,43.0,Pune,,,-999.0,-1.0,Australia
268,Kiran,male,-5.0,Chennai,2025-11-18,,-999.0,-1.0,India
C269,nan,female,43.0,Delhi,2023-04-04,,-999.0,-1.0,Canada
270,nan,Male,43.0,Pune,,,-999.0,-1.0,USA
,Sneha,nan,200.0,Bangalore,2023-02-27,2022-06-30,-999.0,-1.0,nan
272,nan,M,200.0,Kolkata,2021-10-04,2023-07-16,-999.0,5.0,UK
273,Simran,nan,20.0,Hyderabad,,2023-11-18,2238.05,10.0,India
274,nan,F,200.0,Mumbai,2025-05-27,2021-03-09,2601.0,2.0,Australia
,Neha,F,200.0,Ahmedabad,2025-02-16,,993.15,2.0,India
276,Pooja,nan,43.0,Pune,2024-12-21,2025-03-07,2368.71,3.0,USA
C277,Rahul,nan,37.0,Delhi,2022-01-25,,-999.0,10.0,UK
C278,Pooja,Male,43.0,nan,,,902.19,10.0,India
279,Pooja,M,43.0,Kolkata,,,-999.0,10.0,USA
280,Neha,Male,-5.0,Ahmedabad,,,2128.85,5.0,Canada
C281,Rahul,female,200.0,Chennai,2024-11-05,,-999.0,4.0,Canada
C282,Kiran,female,200.0,Bangalore,,2020-12-25,4500.88,-1.0,UK
283,nan,M,51.0,Pune,2021-11-01,,-999.0,10.0,nan
C284,Priya,nan,200.0,Ahmedabad,,,-999.0,4.0,Canada
285,Amit,nan,-5.0,Delhi,2023-10-13,,2667.21,-1.0,UK
286,Priya,female,-5.0,Delhi,2025-02-24,,-999.0,-1.0,Australia
,Ravi,M,200.0,Pune,,,-999.0,3.0,Australia
,Simran,nan,43.0,Pune,,2021-01-14,4204.21,10.0,Australia
C289,Amit,F,-5.0,Pune,2024-07-27,,-999.0,1.0,nan
,Simran,nan,40.0,Hyderabad,2025-02-23,,-999.0,3.0,Australia
291,nan,M,43.0,Hyderabad,,,4281.27,10.0,USA
292,Simran,F,43.0,nan,,,3142.21,-1.0,nan
,Ankit,F,200.0,Pune,,2023-04-16,-999.0,2.0,India
294,Rahul,M,43.0,Chennai,2022-12-20,,-999.0,-1.0,UK
295,nan,M,-5.0,Ahmedabad,,,-999.0,-1.0,nan
,Simran,nan,43.0,Delhi,2022-07-11,2025-03-01,2901.09,10.0,UK
297,Sneha,nan,26.0,Ahmedabad,,2025-03-06,-999.0,5.0,USA
C298,Simran,male,61.0,Delhi,2024-02-27,2024-05-29,-999.0,10.0,USA
C299,Priya,Female,43.0,Pune,2025-07-26,,280.11,4.0,USA
,Pooja,nan,-5.0,Kolkata,2025-12-02,,-999.0,-1.0,USA
301,Amit,M,-5.0,Chennai,,,1591.55,5.0,Australia
302,Amit,nan,41.0,Hyderabad,,,1593.53,-1.0,USA
303,Amit,F,52.0,Kolkata,2024-07-07,,-999.0,-1.0,USA
304,Ankit,female,64.0,Chennai,2024-09-13,,-999.0,-1.0,India
305,Kiran,M,200.0,Chennai,2025-08-04,,-999.0,-1.0,nan
,Kiran,F,70.0,Bangalore,2023-11-08,,-999.0,2.0,nan
307,Ankit,male,200.0,Chennai,2022-12-26,,-999.0,-1.0,UK
308,Amit,male,-5.0,Ahmedabad,,,-999.0,1.0,USA
C309,nan,M,43.0,Delhi,,,2403.96,-1.0,USA
310,nan,male,43.0,Ahmedabad,2023-02-26,,-999.0,3.0,India
C311,Ravi,M,200.0,Mumbai,,,-999.0,2.0,India
,Priya,M,28.0,Chennai,2021-10-16,2022-04-09,-999.0,10.0,Canada
,Neha,nan,-5.0,Kolkata,,,-999.0,10.0,India
314,Simran,Male,-5.0,Mumbai,,,-999.0,3.0,USA
,Priya,M,-5.0,nan,,,174.48,3.0,Canada
C316,Sneha,Male,43.0,Chennai,,,-999.0,5.0,Canada
317,Kiran,F,43.0,Chennai,,,1677.55,-1.0,USA
C318,Ravi,M,26.0,Mumbai,,2022-04-04,-999.0,-1.0,Australia
319,Priya,nan,200.0,nan,,,3555.67,3.0,nan
320,Amit,nan,200.0,nan,2023-04-30,,-999.0,10.0,India
321,nan,male,200.0,nan,2023-04-26,,-999.0,2.0,India
322,nan,nan,200.0,Ahmedabad,2022-12-16,2023-11-13,-999.0,-1.0,nan
,Priya,nan,43.0,Chennai,,,-999.0,-1.0,Canada
C324,Neha,nan,200.0,nan,2022-11-15,2024-12-31,-999.0,10.0,India
,nan,male,-5.0,Pune,2020-10-06,2022-10-18,2294.07,10.0,Australia
326,Kiran,female,200.0,Pune,2022-10-11,,-999.0,10.0,USA
327,Neha,male,-5.0,Mumbai,,,-999.0,5.0,USA
328,nan,F,-5.0,Bangalore,2022-03-27,,-999.0,-1.0,India
329,Amit,M,43.0,Pune,,,-999.0,3.0,USA
330,Rahul,nan,67.0,Mumbai,,,-999.0,-1.0,USA
331,Pooja,female,43.0,Kolkata,,,-999.0,3.0,Canada
C332,Ravi,Male,43.0,Bangalore,,,-999.0,1.0,UK
,Pooja,female,-5.0,Hyderabad,2025-02-20,,-999.0,10.0,India
C334,Ankit,F,200.0,Bangalore,,,3467.58,2.0,nan
335,Pooja,Female,36.0,Kolkata,,,-999.0,3.0,Australia
336,Kiran,male,-5.0,Hyderabad,2021-06-09,,2013.93,2.0,nan
C337,Ankit,Female,68.0,Chennai,,2020-09-10,-999.0,-1.0,Australia
338,Kiran,nan,43.0,Mumbai,2023-04-10,,-999.0,3.0,Australia
339,Rahul,F,-5.0,Kolkata,,,-999.0,2.0,USA
C340,nan,Female,-5.0,Kolkata,,,-999.0,-1.0,USA
341,Pooja,nan,200.0,Hyderabad,,,-999.0,3.0,Canada
342,Rahul,Female,43.0,Chennai,2021-11-25,,-999.0,10.0,UK
,Ankit,female,-5.0,Hyderabad,,,-999.0,3.0,India
344,Sneha,female,-5.0,Hyderabad,,2025-07-11,-999.0,2.0,Canada
345,Pooja,M,200.0,Ahmedabad,,,-999.0,-1.0,UK
C346,Pooja,F,200.0,Bangalore,,2025-05-03,-999.0,3.0,Canada
C347,nan,Male,67.0,Bangalore,2023-07-11,2025-05-16,-999.0,-1.0,nan
348,Amit,Male,43.0,Kolkata,2021-07-13,,-999.0,4.0,Australia
349,Ravi,nan,43.0,Chennai,2021-03-15,2024-04-03,-999.0,4.0,USA
C350,Ravi,male,43.0,Bangalore,,,4408.13,-1.0,UK
,Sneha,Female,200.0,Delhi,2025-03-02,,-999.0,-1.0,nan
352,Neha,Male,-5.0,Hyderabad,,,-999.0,10.0,UK
C353,Ankit,nan,-5.0,Bangalore,2026-01-18,,-999.0,10.0,Australia
C354,Ravi,nan,200.0,Chennai,,,-999.0,10.0,Canada
C355,nan,Female,200.0,Pune,,,2209.73,3.0,Canada
C356,nan,Male,54.0,Chennai,2023-07-22,,-999.0,10.0,India
357,Ankit,Male,43.0,Chennai,2025-10-26,,-999.0,10.0,USA
C358,Pooja,Female,200.0,Bangalore,,2022-09-06,-999.0,-1.0,Australia
359,nan,male,-5.0,Kolkata,,,-999.0,10.0,USA
,Priya,nan,53.0,nan,,2023-12-04,-999.0,3.0,USA
361,Amit,female,61.0,Kolkata,,2023-12-08,-999.0,10.0,Canada
C362,nan,female,200.0,Hyderabad,2021-07-21,,3515.46,1.0,USA
363,Simran,M,200.0,nan,2022-12-08,,4159.19,3.0,nan
C364,Neha,nan,43.0,Ahmedabad,2021-10-09,,-999.0,10.0,USA
365,Ravi,Male,43.0,nan,2023-12-21,2025-09-02,-999.0,3.0,nan
C366,Rahul,male,43.0,Bangalore,2021-11-01,,2390.33,3.0,Australia
C367,Rahul,M,-5.0,Bangalore,2023-12-20,,-999.0,-1.0,USA
C368,Ravi,nan,43.0,Chennai,2020-12-10,,-999.0,10.0,Canada
369,nan,female,-5.0,Hyderabad,,,-999.0,3.0,nan
